date,open,high,low,close,volume
20040607,10900,11750,10900,11600,16338377
20040608,11800,11950,11300,11450,12665550
20040609,11750,12150,11300,11850,15494782
20040610,11900,12300,11650,12000,16000045
20040611,11950,12000,11200,11400,10327592
20040614,11100,11550,10350,10350,9841833
20040615,10450,11000,10300,11000,10831554
20040616,10900,11150,10450,10550,10794300
20040617,10550,11050,10550,10950,9753012
20040618,10950,11300,10550,10800,9828215
20040621,11000,11150,10800,10950,6525615
20040622,10900,11000,10650,10950,6057761
20040623,11100,11400,10900,10900,8923380
20040624,11200,11350,10850,11300,11868529
20040625,11400,11800,11150,11700,10184026
20040628,11850,12100,11700,11850,11572948
20040629,12000,12500,11900,12400,11365026
20040630,12700,13100,12550,12650,14363759
20040701,12800,12950,12350,12600,10348599
20040702,12350,12450,12000,12100,8576140
20040705,12050,12450,12000,12450,6483559
20040706,12350,12600,12250,12350,7041992
20040707,12000,12150,11750,12100,7131670
20040708,11900,12000,11400,11500,8413959
20040709,11500,11850,11450,11650,5626950
20040712,11850,11900,11100,11100,8143812
20040713,11050,11250,10700,11250,8099061
20040714,11000,11300,10850,10900,6867099
20040715,10850,11100,10350,10650,9574648
20040716,10450,10750,10150,10550,11337924
20040719,10300,11100,10250,11050,9623072
20040720,10850,11050,10700,10750,6865661
20040721,11100,11200,10900,10900,6420167
20040722,10600,10900,10550,10800,4164705
20040723,10900,11200,10750,11000,6652770
20040726,10900,11050,10600,10650,6280954
20040727,10700,10800,10400,10600,4908965
20040728,10750,10800,10250,10300,6651283
20040729,10050,10200,9690,9700,6326358
20040730,9850,9950,8820,9000,10716267
20040802,8910,9280,8830,8830,6919094
20040803,8950,9030,8270,8530,11924059
20040804,8430,8870,8360,8800,10164383
20040805,8850,9450,8750,9250,10753774
20040806,9000,9280,8970,9050,5654826
20040809,8900,9390,8840,9350,7556283
20040810,9290,9620,9290,9300,7269526
20040811,9470,9480,8940,9050,8122178
20040812,9050,9140,8970,9000,4985786
20040813,8960,9100,8820,8820,5544555
20040816,8820,9340,8820,9140,8676103
20040817,9300,9340,8960,9010,5723793
20040818,9010,9200,8990,9050,5154968
20040819,9210,9340,9140,9260,8005152
20040820,9290,9380,9220,9330,3856371
20040823,9500,9790,9370,9790,7596730
20040824,9910,10300,9750,10100,10274697
20040825,10150,10200,10000,10100,4881853
20040826,10250,10500,10100,10100,8391808
20040827,10200,10350,10100,10300,3976631
20040830,10450,10750,10400,10600,6308360
20040831,10650,10750,10350,10450,4371614
20040901,10450,10550,10150,10350,5632409
20040902,10400,10700,10400,10400,4787466
20040903,10450,10500,9860,9960,6102135
20040906,9890,9960,9760,9920,4099249
20040907,9980,10050,9820,9820,3798536
20040908,9710,10250,9710,9970,6206729
20040909,10000,10050,9800,9960,3826260
20040910,10250,10350,10150,10200,6740095
20040913,10500,10900,10450,10800,10823082
20040914,10950,11050,10550,10850,7038694
20040915,10900,11600,10600,11400,10503181
20040916,11250,11550,10950,11150,7431845
20040917,11350,11400,10900,10950,7183509
20040920,10400,10950,10250,10700,13039004
20040921,10900,11150,10850,11000,7871367
20040922,11050,11150,10500,10500,6379705
20040923,10300,10600,10300,10400,3398997
20040924,10450,10600,10150,10400,3980539
20040930,10350,10750,10350,10500,4136379
20041001,10600,11450,10600,11100,8058572
20041004,11550,11750,11450,11600,7555624
20041005,11650,12150,11550,11850,14382022
20041006,11900,13350,11650,12750,22420875
20041007,12950,13700,12850,13650,19655066
20041008,13700,15150,13400,14300,33972605
20041011,14550,14750,14050,14400,14597066
20041012,14350,14350,13350,13350,12314205
20041013,13650,13850,13150,13400,12659167
20041014,13100,13750,12900,13500,11664143
20041015,13200,14200,13200,14200,11895625
20041018,14450,14850,13750,13850,10634674
20041019,14250,14350,13150,13450,13617198
20041020,13500,13700,12850,12950,9396497
20041021,13050,13250,12250,12900,12348243
20041022,13000,13200,12200,12450,13947757
20041025,12300,12800,12250,12600,9570967
20041026,12900,13250,12050,12150,16186044
20041027,12400,12450,11550,11900,10945810
20041028,12400,12950,12300,12950,13177842
20041029,12750,12850,12500,12700,7629898
20041101,12800,13000,12000,12150,10647892
20041102,12150,12250,11800,12200,9179152
20041103,12200,12750,12150,12750,12830501
20041104,12500,12550,12200,12200,6917630
20041105,12400,12500,12000,12050,7483559
20041108,12100,12200,11600,11650,8454828
20041109,11500,11700,11200,11450,7766787
20041110,11500,12100,11500,12000,14203616
20041111,11800,12100,11750,11750,8806774
20041112,12100,12150,11800,11900,6957282
20041115,12100,12350,11950,12200,7807995
20041116,12400,12500,12200,12250,5927956
20041117,12400,12700,12350,12500,6961530
20041118,12700,12800,11900,11900,8709118
20041119,12100,12150,11800,12150,4945323
20041122,11850,11950,11550,11700,5791813
20041123,11750,11850,11550,11600,5201354
20041124,11550,11600,11250,11400,5755109
20041125,11400,11550,10950,11050,9489792
20041126,10900,11100,10550,10550,12298312
20041129,10550,10600,10050,10150,9801873
20041130,10100,10450,10050,10350,11883963
20041201,10250,10750,10100,10700,9858766
20041202,10950,10950,10300,10350,8306103
20041203,10600,10800,10450,10650,7566680
20041206,10500,10650,10300,10400,4944241
20041207,10350,10700,10350,10500,4236413
20041208,10350,10800,10350,10450,6856367
20041209,10500,10750,10450,10550,6169988
20041210,10700,10750,10300,10350,4047545
20041213,10400,10500,10300,10400,3848125
20041214,10500,11050,10450,11000,10651761
20041215,11200,11600,11100,11600,9537127
20041216,11750,11950,11550,11550,8526250
20041217,11650,11700,11300,11600,5115524
20041220,11600,11700,11350,11500,4980384
20041221,11450,11750,11350,11550,5263930
20041222,11750,11850,11400,11400,5529365
20041223,11500,11550,10950,11000,4455417
20041224,11000,11150,10900,11000,5268707
20041227,11000,11100,10850,10900,3830431
20041228,10800,10850,10600,10600,5121029
20041229,10750,11250,10700,11200,5300836
20041230,11200,11650,11200,11650,5351629
20050103,11800,11800,11550,11600,3120279
20050104,11550,11800,11350,11750,5562528
20050105,11600,11850,11500,11850,4775735
20050106,11700,12300,11600,11900,9309124
20050107,12000,12100,11500,11700,4783719
20050110,11800,12500,11600,12500,8737587
20050111,12500,12800,11950,12100,14434038
20050112,12300,12350,11700,11800,7182158
20050113,11800,12050,11700,12050,6268104
20050114,11750,12450,11750,12250,14656018
20050117,12650,13200,12550,13000,17250441
20050118,13100,13200,12850,12950,8010582
20050119,13050,13250,12950,13150,7000266
20050120,12950,13150,12900,12900,4697548
20050121,12800,12950,12600,12700,5983961
20050124,12600,12900,12600,12700,4443459
20050125,12550,12650,12300,12350,4852477
20050126,12450,12850,12350,12850,6499786
20050127,13000,13150,12450,12650,5654243
20050128,12650,12700,12450,12600,3172729
20050131,12650,13000,12600,13000,6479382
20050201,13050,13200,12700,12800,4875468
20050202,12950,13350,12800,13000,6939785
20050203,12900,13200,12850,12900,4090593
20050204,12850,12950,12650,12700,3954698
20050207,13000,13350,12950,13300,7825531
20050211,13200,13450,13100,13400,4810612
20050214,13850,15350,13800,15000,24691789
20050215,15200,15300,14800,15050,11197370
20050216,15300,16350,15250,15500,16899507
20050217,15500,16050,15200,15750,9550228
20050218,15500,15850,15350,15650,7473877
20050221,15800,16350,15350,16200,15827961
20050222,16050,16200,14950,15200,13314101
20050223,14700,14950,14150,14300,12391623
20050224,14500,15150,14500,14850,10619376
20050225,15200,15600,14900,15050,11702283
20050228,15400,15500,14900,15050,8472469
20050302,15150,15300,14600,15100,12711077
20050303,14700,14950,14150,14400,16321988
20050304,14150,14300,13850,13900,10935514
20050307,14000,14300,13800,13900,8331839
20050308,13950,14100,13500,13550,7855744
20050309,13350,13550,13250,13400,6491479
20050310,13350,13850,13350,13650,8810717
20050311,13850,14150,13850,14150,6256097
20050314,14000,14050,13800,13850,3230919
20050315,13950,14050,13250,13300,5638852
20050316,13100,13600,13050,13400,5830633
20050317,13100,13300,12900,13000,4893958
20050318,12850,13200,12750,12850,4176678
20050321,12850,13250,12750,13150,4546555
20050322,13150,13500,13150,13400,4361034
20050323,13300,13450,12950,13000,4250820
20050324,13200,13250,12600,12700,5353797
20050325,12750,12900,12700,12900,3320158
20050328,12900,13200,12900,13000,3352872
20050329,13000,13050,12650,12700,3591025
20050330,12600,12950,12500,12950,3255052
20050331,13350,13350,13000,13050,3588095
20050401,13000,13700,12950,13650,6645326
20050404,13750,14050,13650,13900,6082435
20050406,14100,14200,13800,14100,4690893
20050407,14050,14150,13800,13850,3695507
20050408,14000,14100,13650,13700,3656938
20050411,13500,13750,13500,13600,2189927
20050412,13550,14050,13550,13850,4011393
20050413,13950,14050,13350,13500,3899687
20050414,13400,13650,13250,13450,3768531
20050415,13350,13450,12950,13000,4188338
20050418,12650,13000,12400,12400,4244411
20050419,12650,12700,12500,12600,3123988
20050420,12700,12900,12550,12550,3925374
20050421,12300,13450,12100,13150,12593947
20050422,13400,13450,12950,13000,6334584
20050425,12900,13100,12750,12800,3190542
20050426,12800,13000,12450,12450,4159874
20050427,12200,12450,12150,12300,4965302
20050428,12350,12600,12150,12150,4353393
20050429,12000,12250,11950,12100,3089715
20050502,12250,12300,12050,12150,2733984
20050503,12150,12550,12150,12200,4164470
20050504,12400,12750,12350,12500,8052235
20050506,12700,13400,12650,13200,7916641
20050509,13300,13700,13250,13700,7145025
20050510,13700,13950,13400,13500,4755393
20050511,13350,13500,13200,13300,2585868
20050512,13450,14050,13450,13900,6859220
20050513,13900,14500,13750,14500,7941900
20050516,14700,14800,14350,14400,5270731
20050517,14650,14700,14000,14050,4800991
20050518,14250,14550,14150,14150,4197496
